"[374.0, 26.0, 699, 110]","[1, 0, 0]"
"[330.0, 70.0, 492, 215]","[1, 0, 0]"
"[334.0, 66.0, 221, 264]","[0, 1, 0]"
"[414.0, -14.0, 104, 551]","[1, 0, 0]"
"[458.0, -58.0, 112, 173]","[0, 1, 0]"
"[502.0, -102.0, 172, 467]","[1, 0, 0]"
"[434.0, -34.0, 298, 236]","[0, 0, 1]"
"[274.0, 126.0, 454, 243]","[0, 1, 0]"
"[394.0, 6.0, 257, 292]","[0, 0, 1]"
"[458.0, -58.0, 581, 292]","[1, 0, 0]"
"[366.0, 34.0, 464, 89]","[1, 0, 0]"
"[390.0, 10.0, 304, 40]","[0, 1, 0]"
"[606.0, -206.0, 39, 124]","[1, 0, 0]"
"[418.0, -18.0, 240, 334]","[0, 1, 0]"
"[194.0, 206.0, 429, 509]","[0, 1, 0]"
"[326.0, 74.0, 188, 285]","[0, 0, 1]"
"[210.0, 190.0, 343, 565]","[0, 1, 0]"
"[254.0, 146.0, 405, 579]","[0, 1, 0]"
"[366.0, 34.0, 633, 607]","[0, 1, 0]"
"[314.0, 86.0, 508, 194]","[1, 0, 0]"
"[322.0, 78.0, 657, 264]","[1, 0, 0]"
"[410.0, -10.0, 148, 523]","[0, 1, 0]"
"[362.0, 38.0, 74, 292]","[0, 0, 1]"
"[558.0, -158.0, 530, 54]","[1, 0, 0]"
"[378.0, 22.0, 564, 327]","[1, 0, 0]"
"[410.0, -10.0, 501, 348]","[1, 0, 0]"
"[370.0, 30.0, 590, 173]","[0, 1, 0]"
"[298.0, 102.0, 478, 208]","[1, 0, 0]"
"[374.0, 26.0, 34, 313]","[0, 0, 1]"
"[218.0, 182.0, 360, 299]","[1, 0, 0]"
"[350.0, 50.0, 627, 299]","[0, 0, 1]"
"[374.0, 26.0, 224, 243]","[0, 0, 1]"
"[362.0, 38.0, 455, 257]","[1, 0, 0]"
"[402.0, -2.0, 240, 243]","[0, 0, 1]"
"[418.0, -18.0, 661, 145]","[1, 0, 0]"
"[418.0, -18.0, 253, 278]","[0, 0, 1]"
"[386.0, 14.0, 167, 453]","[0, 1, 0]"
"[406.0, -6.0, 76, 495]","[1, 0, 0]"
"[474.0, -74.0, 254, 271]","[0, 0, 1]"
"[270.0, 130.0, 498, 593]","[0, 0, 1]"
"[398.0, 2.0, 3, 544]","[0, 1, 0]"
"[522.0, -122.0, 397, 537]","[0, 1, 0]"
"[370.0, 30.0, 446, 243]","[1, 0, 0]"
"[330.0, 70.0, 140, 96]","[0, 0, 1]"
"[410.0, -10.0, 281, 215]","[0, 0, 1]"
"[350.0, 50.0, 124, 306]","[0, 0, 1]"
"[478.0, -78.0, 327, 264]","[0, 0, 1]"
"[566.0, -166.0, 453, 166]","[0, 0, 1]"
"[258.0, 142.0, 577, 271]","[0, 1, 0]"
"[274.0, 126.0, 549, 145]","[0, 1, 0]"
"[490.0, -90.0, 336, 208]","[0, 0, 1]"
"[370.0, 30.0, 317, 96]","[0, 0, 1]"
"[386.0, 14.0, 211, 40]","[0, 1, 0]"
"[470.0, -70.0, 339, 341]","[0, 0, 1]"
"[314.0, 86.0, 174, 257]","[0, 0, 1]"
"[418.0, -18.0, 324, 187]","[0, 0, 1]"
"[138.0, 262.0, 310, 313]","[0, 1, 0]"
"[574.0, -174.0, 453, 194]","[0, 1, 0]"
"[386.0, 14.0, 167, 453]","[0, 1, 0]"
"[446.0, -46.0, 319, 187]","[0, 0, 1]"
"[350.0, 50.0, 107, 593]","[0, 1, 0]"
"[354.0, 46.0, 630, 593]","[0, 1, 0]"
"[446.0, -46.0, 153, 481]","[0, 1, 0]"
"[330.0, 70.0, 557, 278]","[1, 0, 0]"
"[434.0, -34.0, 211, 292]","[0, 1, 0]"
"[314.0, 86.0, 195, 131]","[0, 0, 1]"
"[458.0, -58.0, 112, 397]","[0, 1, 0]"
"[334.0, 66.0, 443, 124]","[1, 0, 0]"
"[418.0, -18.0, 459, 110]","[1, 0, 0]"
"[322.0, 78.0, 265, 159]","[0, 0, 1]"
"[406.0, -6.0, 545, 278]","[1, 0, 0]"
"[250.0, 150.0, 28, 124]","[0, 0, 1]"
"[326.0, 74.0, 36, 110]","[0, 0, 1]"
"[362.0, 38.0, 523, 173]","[0, 1, 0]"
"[342.0, 58.0, 443, 250]","[1, 0, 0]"
"[342.0, 58.0, 539, 117]","[1, 0, 0]"
"[398.0, 2.0, 161, 229]","[0, 1, 0]"
"[386.0, 14.0, 258, 138]","[0, 0, 1]"
"[270.0, 130.0, 37, 397]","[0, 0, 1]"
"[370.0, 30.0, 492, 131]","[1, 0, 0]"
"[446.0, -46.0, 652, 131]","[1, 0, 0]"
"[322.0, 78.0, 101, 124]","[0, 0, 1]"
"[286.0, 114.0, 674, 355]","[0, 1, 0]"
"[350.0, 50.0, 93, 320]","[0, 0, 1]"
"[138.0, 262.0, 310, 320]","[0, 1, 0]"
"[342.0, 58.0, 467, 159]","[1, 0, 0]"
"[342.0, 58.0, 658, 411]","[0, 0, 1]"
"[346.0, 54.0, 543, 334]","[1, 0, 0]"
"[362.0, 38.0, 73, 404]","[0, 1, 0]"
"[338.0, 62.0, 14, 194]","[0, 0, 1]"
"[414.0, -14.0, 649, 180]","[1, 0, 0]"
"[522.0, -122.0, 320, 271]","[0, 1, 0]"
"[410.0, -10.0, 228, 215]","[0, 0, 1]"
"[450.0, -50.0, 270, 159]","[0, 0, 1]"
"[390.0, 10.0, 213, 600]","[0, 1, 0]"
"[434.0, -34.0, 211, 404]","[0, 1, 0]"
"[454.0, -54.0, 336, 306]","[0, 0, 1]"
"[386.0, 14.0, 214, 145]","[0, 0, 1]"
"[330.0, 70.0, 192, 446]","[0, 0, 1]"
"[278.0, 122.0, 469, 313]","[0, 1, 0]"
"[126.0, 274.0, 626, 460]","[0, 0, 1]"
"[466.0, -66.0, 172, 530]","[1, 0, 0]"
"[274.0, 126.0, 466, 313]","[0, 1, 0]"
"[374.0, 26.0, 195, 418]","[0, 1, 0]"
"[506.0, -106.0, 345, 432]","[0, 1, 0]"
"[278.0, 122.0, 478, 243]","[1, 0, 0]"
"[494.0, -94.0, 632, 89]","[1, 0, 0]"
"[366.0, 34.0, 152, 201]","[0, 0, 1]"
